scheme_id,scheme_name,sector,applicable_states,business_category,min_age,max_age,min_funding_amount,max_funding_amount,requires_udyam,requires_new_unit,requires_woman_or_scst,requires_dpiit,benefit_summary,application_notes,source_url,last_verified_date
S001,PMEGP (Manufacturing),Manufacturing,Any,Micro,18,,0,5000000,No,Yes,No,No,"Margin-money subsidy through a bank-linked loan for eligible new manufacturing units. Project-cost limits and contribution rules apply.","Review the current eligibility criteria and project report requirements on the official PMEGP portal before applying.",https://www.kviconline.gov.in,2026-09-17
S002,PMEGP (Service/Business),Service,Any,Micro,18,,0,2000000,No,Yes,No,No,"Margin-money subsidy through a bank-linked loan for eligible new service or business units. Project-cost limits and contribution rules apply.","Review the current eligibility criteria and project report requirements on the official PMEGP portal before applying.",https://www.kviconline.gov.in,2026-09-17
S003,CGTMSE Collateral-Free Loan,Any,Any,Any,,,0,100000000,Yes,No,No,No,"Credit-guarantee support can help eligible MSME loans be considered without conventional collateral, subject to lender appraisal.","A participating lender evaluates the proposal. Udyam registration and the lender's credit assessment remain important.",https://www.cgtmse.in,2026-09-17
S004,Mudra Loan - Shishu,Any,Any,Micro,18,65,0,50000,No,No,No,No,"Micro-enterprise loan category for a small funding need, generally up to ₹50,000.","Speak with an eligible lender about the business need, identity documents, and any local documentation requirements.",https://www.mudra.org.in,2026-09-17
S005,Mudra Loan - Kishor,Any,Any,Micro,18,65,50001,500000,No,No,No,No,"Micro-enterprise loan category for businesses needing roughly ₹50,001 to ₹5 lakh.","Prepare a practical use-of-funds note and supporting business records for the lender.",https://www.mudra.org.in,2026-09-17
S006,Mudra Loan - Tarun,Any,Any,Micro,18,65,500001,1000000,No,No,No,No,"Micro-enterprise loan category for growth funding of roughly ₹5 lakh to ₹10 lakh.","The lending decision, repayment capacity, and current product terms are assessed by the lender.",https://www.mudra.org.in,2026-09-17
S007,Stand-Up India,Any,Any,Any,18,65,1000000,10000000,No,Yes,Yes,No,"Bank-loan programme for eligible greenfield enterprises led by a woman or SC/ST entrepreneur, subject to lender assessment.","Confirm borrower eligibility, greenfield status, and the current loan structure with an authorised lender or the official portal.",https://www.standupmitra.in,2026-09-17
S008,CGSS for DPIIT Startups,Any,Any,Startup,,,0,200000000,No,No,No,Yes,"Credit-guarantee support for eligible DPIIT-recognised startups through participating financial institutions.","Check DPIIT recognition and the latest CGSS operational guidelines before approaching a participating lender.",https://www.startupindia.gov.in,2026-09-17
S009,MSME ZED Certification,Any,Any,Micro,,,,,Yes,No,No,No,"Quality and sustainability certification support for MSMEs pursuing ZED assessment and improvement.","Verify the latest incentive structure and registration steps on the official ZED portal.",https://zed.msme.gov.in,2026-09-17
S010,Maharashtra CMEGP,Any,Maharashtra,Micro,18,,0,5000000,No,Yes,No,No,"State employment-generation support for eligible new micro enterprises in Maharashtra, subject to current guidelines.","Check the official Maharashtra CMEGP portal for project categories, contribution, and current application windows.",https://maha-cmegp.gov.in,2026-09-17
