date,transaction_id,description,category,type,amount,balance
01-01-2022,TX00001,Daily Sales Deposit,Sales Revenue,Credit,802,15802
02-01-2022,TX00002,Daily Sales Deposit,Sales Revenue,Credit,970,16772
03-01-2022,TX00003,Daily Sales Deposit,Sales Revenue,Credit,888,17660
04-01-2022,TX00004,Daily Sales Deposit,Sales Revenue,Credit,821,18481
04-01-2022,TX00005,Utility Bill Payment,Operating Expense,Debit,430,18051
05-01-2022,TX00006,Daily Sales Deposit,Sales Revenue,Credit,787,18838
06-01-2022,TX00007,Daily Sales Deposit,Sales Revenue,Credit,1059,19897
07-01-2022,TX00008,Daily Sales Deposit,Sales Revenue,Credit,849,20746
07-01-2022,TX00009,Rent Payment,Operating Expense,Debit,443,20303
08-01-2022,TX00010,Daily Sales Deposit,Sales Revenue,Credit,1113,21416
09-01-2022,TX00011,Daily Sales Deposit,Sales Revenue,Credit,891,22307
10-01-2022,TX00012,Daily Sales Deposit,Sales Revenue,Credit,860,23167
11-01-2022,TX00013,Daily Sales Deposit,Sales Revenue,Credit,721,23888
11-01-2022,TX00014,Bakery Payment,COGS,Debit,444,23444
12-01-2022,TX00015,Daily Sales Deposit,Sales Revenue,Credit,1174,24618
13-01-2022,TX00016,Daily Sales Deposit,Sales Revenue,Credit,869,25487
13-01-2022,TX00017,Utility Bill Payment,Operating Expense,Debit,287,25200
14-01-2022,TX00018,Daily Sales Deposit,Sales Revenue,Credit,1063,26263
15-01-2022,TX00019,Daily Sales Deposit,Sales Revenue,Credit,1019,27282
16-01-2022,TX00020,Daily Sales Deposit,Sales Revenue,Credit,1184,28466
17-01-2022,TX00021,Daily Sales Deposit,Sales Revenue,Credit,720,29186
18-01-2022,TX00022,Daily Sales Deposit,Sales Revenue,Credit,973,30159
19-01-2022,TX00023,Daily Sales Deposit,Sales Revenue,Credit,1015,31174
20-01-2022,TX00024,Daily Sales Deposit,Sales Revenue,Credit,964,32138
20-01-2022,TX00025,Rent Payment,Operating Expense,Debit,485,31653
21-01-2022,TX00026,Daily Sales Deposit,Sales Revenue,Credit,791,32444
22-01-2022,TX00027,Daily Sales Deposit,Sales Revenue,Credit,1154,33598
23-01-2022,TX00028,Daily Sales Deposit,Sales Revenue,Credit,963,34561
23-01-2022,TX00029,Bakery Payment,COGS,Debit,305,34256
24-01-2022,TX00030,Daily Sales Deposit,Sales Revenue,Credit,1119,35375
24-01-2022,TX00031,Coffee Supplier Payment,COGS,Debit,487,34888
25-01-2022,TX00032,Daily Sales Deposit,Sales Revenue,Credit,1089,35977
26-01-2022,TX00033,Daily Sales Deposit,Sales Revenue,Credit,959,36936
26-01-2022,TX00034,Coffee Supplier Payment,COGS,Debit,290,36646
27-01-2022,TX00035,Daily Sales Deposit,Sales Revenue,Credit,917,37563
28-01-2022,TX00036,Daily Sales Deposit,Sales Revenue,Credit,901,38464
29-01-2022,TX00037,Daily Sales Deposit,Sales Revenue,Credit,969,39433
30-01-2022,TX00038,Daily Sales Deposit,Sales Revenue,Credit,970,40403
30-01-2022,TX00039,Rent Payment,Operating Expense,Debit,314,40089
31-01-2022,TX00040,Daily Sales Deposit,Sales Revenue,Credit,889,40978
01-02-2022,TX00041,Daily Sales Deposit,Sales Revenue,Credit,907,41885
02-02-2022,TX00042,Daily Sales Deposit,Sales Revenue,Credit,1066,42951
03-02-2022,TX00043,Daily Sales Deposit,Sales Revenue,Credit,1109,44060
04-02-2022,TX00044,Daily Sales Deposit,Sales Revenue,Credit,887,44947
05-02-2022,TX00045,Daily Sales Deposit,Sales Revenue,Credit,740,45687
06-02-2022,TX00046,Daily Sales Deposit,Sales Revenue,Credit,1000,46687
06-02-2022,TX00047,Bakery Payment,COGS,Debit,426,46261
07-02-2022,TX00048,Daily Sales Deposit,Sales Revenue,Credit,1043,47304
08-02-2022,TX00049,Daily Sales Deposit,Sales Revenue,Credit,835,48139
08-02-2022,TX00050,Utility Bill Payment,Operating Expense,Debit,238,47901
09-02-2022,TX00051,Daily Sales Deposit,Sales Revenue,Credit,780,48681
10-02-2022,TX00052,Daily Sales Deposit,Sales Revenue,Credit,1118,49799
11-02-2022,TX00053,Daily Sales Deposit,Sales Revenue,Credit,960,50759
12-02-2022,TX00054,Daily Sales Deposit,Sales Revenue,Credit,740,51499
13-02-2022,TX00055,Daily Sales Deposit,Sales Revenue,Credit,900,52399
14-02-2022,TX00056,Daily Sales Deposit,Sales Revenue,Credit,1117,53516
14-02-2022,TX00057,Maintenance Payment,Operating Expense,Debit,161,53355
15-02-2022,TX00058,Daily Sales Deposit,Sales Revenue,Credit,798,54153
16-02-2022,TX00059,Daily Sales Deposit,Sales Revenue,Credit,913,55066
17-02-2022,TX00060,Daily Sales Deposit,Sales Revenue,Credit,1148,56214
18-02-2022,TX00061,Daily Sales Deposit,Sales Revenue,Credit,1130,57344
19-02-2022,TX00062,Daily Sales Deposit,Sales Revenue,Credit,956,58300
20-02-2022,TX00063,Daily Sales Deposit,Sales Revenue,Credit,954,59254
21-02-2022,TX00064,Daily Sales Deposit,Sales Revenue,Credit,982,60236
22-02-2022,TX00065,Daily Sales Deposit,Sales Revenue,Credit,714,60950
22-02-2022,TX00066,Maintenance Payment,Operating Expense,Debit,479,60471
23-02-2022,TX00067,Daily Sales Deposit,Sales Revenue,Credit,878,61349
23-02-2022,TX00068,Bakery Payment,COGS,Debit,330,61019
24-02-2022,TX00069,Daily Sales Deposit,Sales Revenue,Credit,751,61770
25-02-2022,TX00070,Daily Sales Deposit,Sales Revenue,Credit,1087,62857
26-02-2022,TX00071,Daily Sales Deposit,Sales Revenue,Credit,1106,63963
27-02-2022,TX00072,Daily Sales Deposit,Sales Revenue,Credit,842,64805
28-02-2022,TX00073,Daily Sales Deposit,Sales Revenue,Credit,735,65540
01-03-2022,TX00074,Daily Sales Deposit,Sales Revenue,Credit,726,66266
02-03-2022,TX00075,Daily Sales Deposit,Sales Revenue,Credit,485,66751
03-03-2022,TX00076,Daily Sales Deposit,Sales Revenue,Credit,569,67320
04-03-2022,TX00077,Daily Sales Deposit,Sales Revenue,Credit,533,67853
05-03-2022,TX00078,Daily Sales Deposit,Sales Revenue,Credit,507,68360
05-03-2022,TX00079,Utility Bill Payment,Operating Expense,Debit,385,67975
06-03-2022,TX00080,Daily Sales Deposit,Sales Revenue,Credit,527,68502
07-03-2022,TX00081,Daily Sales Deposit,Sales Revenue,Credit,747,69249
08-03-2022,TX00082,Daily Sales Deposit,Sales Revenue,Credit,589,69838
08-03-2022,TX00083,Utility Bill Payment,Operating Expense,Debit,476,69362
09-03-2022,TX00084,Daily Sales Deposit,Sales Revenue,Credit,520,69882
10-03-2022,TX00085,Daily Sales Deposit,Sales Revenue,Credit,632,70514
11-03-2022,TX00086,Daily Sales Deposit,Sales Revenue,Credit,597,71111
12-03-2022,TX00087,Daily Sales Deposit,Sales Revenue,Credit,536,71647
13-03-2022,TX00088,Daily Sales Deposit,Sales Revenue,Credit,624,72271
13-03-2022,TX00089,Utility Bill Payment,Operating Expense,Debit,271,72000
14-03-2022,TX00090,Daily Sales Deposit,Sales Revenue,Credit,773,72773
15-03-2022,TX00091,Daily Sales Deposit,Sales Revenue,Credit,632,73405
16-03-2022,TX00092,Daily Sales Deposit,Sales Revenue,Credit,717,74122
17-03-2022,TX00093,Daily Sales Deposit,Sales Revenue,Credit,451,74573
18-03-2022,TX00094,Daily Sales Deposit,Sales Revenue,Credit,694,75267
19-03-2022,TX00095,Daily Sales Deposit,Sales Revenue,Credit,512,75779
19-03-2022,TX00096,Utility Bill Payment,Operating Expense,Debit,180,75599
20-03-2022,TX00097,Daily Sales Deposit,Sales Revenue,Credit,512,76111
21-03-2022,TX00098,Daily Sales Deposit,Sales Revenue,Credit,619,76730
21-03-2022,TX00099,Bakery Payment,COGS,Debit,323,76407
22-03-2022,TX00100,Daily Sales Deposit,Sales Revenue,Credit,784,77191
23-03-2022,TX00101,Daily Sales Deposit,Sales Revenue,Credit,529,77720
24-03-2022,TX00102,Daily Sales Deposit,Sales Revenue,Credit,617,78337
25-03-2022,TX00103,Daily Sales Deposit,Sales Revenue,Credit,646,78983
26-03-2022,TX00104,Daily Sales Deposit,Sales Revenue,Credit,602,79585
27-03-2022,TX00105,Daily Sales Deposit,Sales Revenue,Credit,654,80239
28-03-2022,TX00106,Daily Sales Deposit,Sales Revenue,Credit,724,80963
29-03-2022,TX00107,Daily Sales Deposit,Sales Revenue,Credit,597,81560
30-03-2022,TX00108,Daily Sales Deposit,Sales Revenue,Credit,639,82199
31-03-2022,TX00109,Daily Sales Deposit,Sales Revenue,Credit,600,82799
01-04-2022,TX00110,Daily Sales Deposit,Sales Revenue,Credit,725,83524
02-04-2022,TX00111,Daily Sales Deposit,Sales Revenue,Credit,658,84182
03-04-2022,TX00112,Daily Sales Deposit,Sales Revenue,Credit,745,84927
04-04-2022,TX00113,Daily Sales Deposit,Sales Revenue,Credit,546,85473
05-04-2022,TX00114,Daily Sales Deposit,Sales Revenue,Credit,598,86071
05-04-2022,TX00115,Coffee Supplier Payment,COGS,Debit,227,85844
06-04-2022,TX00116,Daily Sales Deposit,Sales Revenue,Credit,759,86603
06-04-2022,TX00117,Coffee Supplier Payment,COGS,Debit,250,86353
07-04-2022,TX00118,Daily Sales Deposit,Sales Revenue,Credit,498,86851
08-04-2022,TX00119,Daily Sales Deposit,Sales Revenue,Credit,543,87394
09-04-2022,TX00120,Daily Sales Deposit,Sales Revenue,Credit,459,87853
10-04-2022,TX00121,Daily Sales Deposit,Sales Revenue,Credit,784,88637
